dates,Z,ZDR,CC
2020-12-24 21:02:47.571000,22.5,0.65625,0.97833335
2020-12-24 21:09:29.183000,24.5,0.46875,0.985
2020-12-24 21:16:16.843000,22.0,1.3125,0.9716667
2020-12-24 21:23:04.861000,19.5,0.0625,0.965
2020-12-24 21:29:46.693000,20.5,0.5,0.975
2020-12-24 21:36:28.177000,24.5,1.6875,0.97833335
2020-12-24 21:43:10.056000,21.0,1.28125,0.91833335
2020-12-24 21:49:51.793000,20.5,1.40625,0.96166664
2020-12-24 21:56:18.655000,26.0,0.53125,0.9716667
2020-12-24 22:02:31.494000,20.0,0.34375,0.9683333
2020-12-24 22:09:13.284000,21.5,1.0,0.97833335
2020-12-24 22:15:42.122000,20.5,1.71875,0.97833335
2020-12-24 22:22:09.744000,21.5,1.59375,0.975
2020-12-24 22:28:27.437000,22.5,1.875,0.9816667
2020-12-24 22:34:45.288000,21.0,1.65625,0.95166665
2020-12-24 22:41:03.281000,23.0,0.5,0.935
2020-12-24 22:47:15.877000,21.0,-0.03125,0.9316667
2020-12-24 22:53:42.595000,27.5,1.875,0.965
2020-12-24 23:00:30.361000,25.0,0.15625,0.9916667
2020-12-24 23:07:17.317000,21.5,0.3125,0.97833335
2020-12-24 23:13:58.902000,23.0,-0.46875,0.98833334
2020-12-24 23:20:39.845000,24.5,-0.25,0.995
2020-12-24 23:27:21.386000,16.5,0.1875,0.985
2020-12-24 23:34:03.171000,17.5,0.0625,0.98833334
2020-12-24 23:40:45.182000,20.5,0.3125,0.985
2020-12-24 23:47:26.776000,13.5,0.25,0.98833334
2020-12-24 23:54:08.451000,18.0,-0.0625,0.9916667
2020-12-25 00:00:50.482000,15.0,-0.25,0.9816667
2020-12-25 00:07:32.192000,15.0,-0.75,0.9916667
2020-12-25 00:14:14.007000,8.5,0.25,0.975
2020-12-25 00:20:55.733000,11.0,0.5625,1.005
2020-12-25 00:27:37.384000,18.5,0.0,0.985
2020-12-25 00:34:19.174000,16.0,0.6875,0.97833335
2020-12-25 00:41:00.850000,15.0,0.21875,0.98833334
2020-12-25 00:47:42.589000,17.0,-0.1875,0.97833335
2020-12-25 00:54:24.585000,19.5,0.03125,0.9916667
2020-12-25 01:01:06.380000,16.0,-0.65625,0.9916667
2020-12-25 01:07:47.984000,18.0,-0.21875,0.98833334
2020-12-25 01:14:29.706000,19.5,0.375,0.98833334
2020-12-25 01:21:16.586000,19.5,0.21875,0.9916667
2020-12-25 01:28:04.275000,22.5,0.1875,0.9916667
2020-12-25 01:34:52.045000,21.0,-0.125,0.995
2020-12-25 01:41:40.090000,25.0,0.28125,0.9916667
2020-12-25 01:48:27.507000,26.0,0.34375,0.995
2020-12-25 01:55:15.438000,24.0,0.15625,0.995
2020-12-25 02:02:02.977000,21.5,0.65625,0.98833334
2020-12-25 02:08:50.892000,23.5,0.4375,0.995
2020-12-25 02:15:38.897000,19.5,0.0625,0.98833334
2020-12-25 02:22:26.426000,24.0,0.0625,0.995
2020-12-25 02:29:14.176000,24.0,0.40625,0.99833333
2020-12-25 02:36:01.013000,24.0,0.375,0.995
2020-12-25 02:42:47.920000,22.5,0.40625,0.97833335
2020-12-25 02:49:35.510000,26.0,-0.1875,0.995
2020-12-25 02:56:23.308000,25.0,-0.3125,0.995
